臺灣 Taiwan,#genre#
Muslim TV,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=MuslimTV
Music TV,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=MusicTV
Lifestyle&Fashion,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Lifestyle
Entertain,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Entertain
Hits,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Hits
Warner TV,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=WarnerTV
SCM,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Weishimovie
Thrill,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Thrill
Fight Sports,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Fs
Beinsports 2 HD,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Bein2hd
Hits Movie,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Hitsmovie
One,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=One_mega
tvN Movie,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Tvnmovie
Celestial Movies HD,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Celestialindo
Rock Actions,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Rockaction
Rock Entertainment,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Rockentertain
香港 Hongkong,#genre#
J2(備用),http://adorable-davita-2d133c54.koyeb.app/smt.php?id=j2_hkdavid
J2,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=j2_twn
RHK 31,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=rhk31_twn
RHK 32,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=rhk32_twn
TVB 星河,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=tvbxinhe_twn
VIUTV1,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=viu1_twn
Viu TV 69,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=viutv69_hkdavid
Viu6,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=viusix_twn
iNews 新聞台,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=inews_twn
無線財經資訊台,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=tvbcaijing_twn
珍珠台(備用),http://adorable-davita-2d133c54.koyeb.app/smt.php?id=pearl_hkdavid
珍珠台,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=pearl_twn
翡翠台(備用),http://adorable-davita-2d133c54.koyeb.app/smt.php?id=jade_mike
翡翠台,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=jade_twn
鳳凰衛視,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=phoenixtv_hd
鳳凰資訊,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=phoenixinfo_hd
鳳凰香港,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=hkphoenix_twn
中國 China,#genre#
CCTV-1,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv1
CCTV-2,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv2
CCTV-3,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv3
CCTV-4,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv4
CCTV-4 ,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Cctv4
CCTV-5,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv5
CCTV-5+,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv5plus
CCTV-6,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv6
CCTV-7,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv7
CCTV-8,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv8hd
CCTV-9,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv9hd
CCTV-10,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv10hd
CCTV-11,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv11
CCTV-12,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv12
CCTV-13,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv13
CCTV-14,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv14
CCTV-15,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv15
CCTV-16,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv16
CCTV-17,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv17
湖南衛視,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=hunan_twn
江蘇衛視,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=jiangsu_twn
深圳衛視,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=shenzhen
大灣區衛視,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=nanfang_twn
廣東衛視,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=guangdongweishi_twn
北京衛視,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=beijing
廣東珠江,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=zhujiang
廣西衛視,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=guangxi
湖北衛視,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=hubei
四川衛視,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=sichuan_twn
鳳凰衛視,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=phoenixtv_hd
東方衛視,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=dongfangweishi_twn
CGTN,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=CGTN
鳳凰資訊,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=phoenixinfo_hd
體育 Sports,#genre#
Supersports 1,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Assp1
Supersports 1(備用),http://adorable-davita-2d133c54.koyeb.app/smt.php?id=go_assp1
Supersportq 1(備用2),http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Assp1_mega
Supersports 2,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Assp2
Supersports 2(備用),http://adorable-davita-2d133c54.koyeb.app/smt.php?id=go_assp2
Supersports 3,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Assp3
Supersports 3(備用),http://adorable-davita-2d133c54.koyeb.app/smt.php?id=go_assp3
Supersports 3(備用2),http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Assp3_mega
Supersports 4,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Assp4_mega
Supersports 4(備用),http://adorable-davita-2d133c54.koyeb.app/smt.php?id=go_assp4
Supersports 5,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=go_assp5
Bein 2HD,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Beinhd
Beinsports HD,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Besports
Champion 5 EPL,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Champion5epl
WWE,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Wwe
Champion 6 EPL,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Champion6epl
Fight Sports,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Fs
UFC Network,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=ufc_mega
NBA TV,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=nbatv_twn
Astro Cricket,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Acricket_mega
Astro Golf,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Agolf
TNT Sports 1,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=beeone
TNT Sports 2,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=beetwo
TNT Sports 3,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=beethree
TNT Sports 4,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=beefour
Sony Ten 1,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=ten1_raj
Sony Ten 2,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=ten2_raj
Sony Ten 3,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=ten3_raj
SPOTV 1 HD,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=go_spotv
SPO TV 2,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=go_spotv2
Beinsports 2 HD,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Bein2hd
Skysports Arena,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=tiankongarena
Skysports F1,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=tiankongf1
Skysports Cricket,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=tiankongcricket
Skysports EPL,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=tiankongepl
Skysports Football,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=tiankongfootball
Skysports Golf,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=tiankonggolf
Skysports Main Event,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=tiankongmain
Skysports News,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=tiankongnews
Skysports NFL,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=tiankongnfl
Skysports Racing,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=tiankongracing
Skysports Mix,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=tiankongmix
CCTV-5,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv5
CCTV-5+,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cctv5plus
愛爾達體育2台,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=eltasport2_twn
愛爾達體育3台,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=eltasport3_twn
RTM Sports HD,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Rtmsport
Arena,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Arena
Arena 2,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Arena2
BolaArena 1,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Bolaarena1
Bein 1 Sports,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=bein1_mega
Bein 2 Sports,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=bein2_mega
Bein 3 Sports,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=bein3_mega
Bein 4 Sports,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=bein4_mega
Bein 5 Sports,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=bein5_mega
Bein 6 Sports,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=bein6_mega
