臺灣 Taiwan,#genre#
Astrol Kplus,http://samuelwongvv.serv00.net/Smartv.php?id=Kplus
Rock Actions,http://samuelwongvv.serv00.net/Smartv.php?id=Rockaction
Bloomberg News,http://samuelwongvv.serv00.net/Smartv.php?id=bloomberg_twn
Al-Jazeera,http://samuelwongvv.serv00.net/Smartv.php?id=aljazeera_twn
Rock Entertainment,http://samuelwongvv.serv00.net/Smartv.php?id=Rockentertain
Showcase,http://samuelwongvv.serv00.net/Smartv.php?id=Showcase_mega
BolaArena 2,http://samuelwongvv.serv00.net/Smartv.php?id=Bolaarena2
新加坡 Singapore,#genre#
Channel 5,http://samuelwongvv.serv00.net/Smartv.php?id=Channel5HD
Channel 5(備用),http://samuelwongvv.serv00.net/Smartv.php?id=Ch5_mega
Channel 8,http://samuelwongvv.serv00.net/Smartv.php?id=Channel8HD
Channel 8(備用),http://samuelwongvv.serv00.net/Smartv.php?id=Ch8_mega
Suria,http://samuelwongvv.serv00.net/Smartv.php?id=Suria
Suria(備用),http://samuelwongvv.serv00.net/Smartv.php?id=Suria_backup
Channel U,http://samuelwongvv.serv00.net/Smartv.php?id=ChannelU
Channel U(備用),http://samuelwongvv.serv00.net/Smartv.php?id=ChU_mega
Vasantham,http://samuelwongvv.serv00.net/Smartv.php?id=Vasantham
Vasantham(備用),http://samuelwongvv.serv00.net/Smartv.php?id=Vasantham_mega
CNA,http://samuelwongvv.serv00.net/Smartv.php?id=cna
CNA(備用),http://samuelwongvv.serv00.net/Smartv.php?id=cna_twn
印尼 Indonesia,#genre#
TVRI National,http://samuelwongvv.serv00.net/Smartv.php?id=TVRI
RCTI,http://samuelwongvv.serv00.net/Smartv.php?id=Rcti
Kompass TV,http://samuelwongvv.serv00.net/Smartv.php?id=Kompass
Berita Satu,http://samuelwongvv.serv00.net/Smartv.php?id=BeritaSatu_eko
Indosiar HD,http://samuelwongvv.serv00.net/Smartv.php?id=Indosiar
AnTV,http://samuelwongvv.serv00.net/Smartv.php?id=Antv
MNC TV,http://samuelwongvv.serv00.net/Smartv.php?id=Mnctv
